SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
5438/22,Spumoni Fiesta,Tempotest®,E,Pink,Pink | Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_spumoni-fiesta_5438-22.jpg
5438/701,Spumoni Tidewater,Tempotest®,E,Blue,Blue | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_spumoni-tidewater_5438-701.jpg
5438/90,Spumoni Conch,Tempotest®,E,Pink,Pink | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_spumoni-conch_5438-90.jpg
D029,Enea Sunflower,Recasens / SENS,E,Yellow,Yellow | Grey | White,Textures,https://frankford.b-cdn.net/fabric_swatches/sens_enea-sunflower_D-029.jpg
T1401/702,Linea Smoke,Tempotest®,E,Grey,Grey | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_linea-smoke_T1401-702.jpg
T1403/708,Linea Patina,Tempotest®,E,Red,Red | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_linea-patina_T1403-708.jpg
T1403/713,Linea Sailor,Tempotest®,E,Blue,Blue | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_linea-sailor_T1403-713.jpg
T1403/714,Linea Orca,Tempotest®,E,Black,Black | Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_awning_linea-orca_T1403-714.jpg
1276/501,Ottomano Sand,Tempotest®,F,Beige,Beige | White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-sand_1276-501.jpg
1276/502,Ottomano Beach,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-beach_1276-502.jpg
1276/503,Ottomano Driftwood,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-driftwood_1276-503.jpg
1276/504,Ottomano Mocha,Tempotest®,F,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-mocha_1276-504.jpg
1276/506,Ottomano Marmalade,Tempotest®,F,Yellow,Yellow,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-marmalade_1276-506.jpg
1276/508,Ottomano Toffee,Tempotest®,F,Brown,Brown | Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-toffee_1276-508.jpg
1276/509,Ottomano Smoke,Tempotest®,F,Beige,Beige | Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-smoke_1276-509.jpg
1276/511,Ottomano Silver,Tempotest®,F,Grey,Grey | Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-silver_1276-511.jpg
1276/513,Ottomano Slate,Tempotest®,F,Black,Black | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-slate_1276-513.jpg
1276/514,Ottomano Charcoal,Tempotest®,F,Black,Black | Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-charcoal_1276-514.jpg
1276/516,Ottomano Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-blue_1276-516.jpg
1276/517,Ottomano Evening Sky,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-evening-sky_1276-517.jpg
1276/518,Ottomano Shore Blue,Tempotest®,F,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-shore-blue_1276-518.jpg
1276/519,Ottomano Bluegreen,Tempotest®,F,Green,Green | Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-bluegreen_1276-519.jpg
1276/520,Ottomano Lime,Tempotest®,F,Green,Green,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-lime_1276-520.jpg
1276/521,Ottomano Watermelon,Tempotest®,F,Red,Red,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_ottomano-watermelon_1276-521.jpg
1882,Gypsy Nautical,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_gypsy_gypsy-nautical_1882.jpg
2476,Avalon Amber,Sattler / Outdura,F,Orange,Orange,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_avalon_avalon-amber_2476.jpg
2481,Avalon Sapphire,Sattler / Outdura,F,Blue,Blue,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_avalon_avalon-sapphire_2481.jpg
2484,Avalon Charcoal,Sattler / Outdura,F,Grey,Grey,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_avalon_avalon-charcoal_2484.jpg
2485,Avalon Garnet,Sattler / Outdura,F,Red,Red,Geometrics,https://frankford.b-cdn.net/fabric_swatches/outdura_avalon_avalon-garnet_2485.jpg
2675,Sydney Oats,Sattler / Outdura,F,Beige,Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-oats_2675.jpg
2678,Sydney Metallica,Sattler / Outdura,F,Grey,Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-metallica_2678.jpg
2689,Sydney Pewter,Sattler / Outdura,F,Brown,Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-pewter_2689.jpg
2691,Sydney Putty,Sattler / Outdura,F,Brown,Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-putty_2691.jpg
2693,Sydney Cloud,Sattler / Outdura,F,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-cloud_2693.jpg
2694,Sydney Cadet,Sattler / Outdura,F,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-cadet_2694.jpg
2695,Sydney Peach,Sattler / Outdura,F,Red,Red,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sydney_sydney-peach_2695.jpg
