suggested_bucket,decision,manufacturer,collection,category,sku,name,msrp,sale_price,images,quote_only,show_price_online,id
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSH+2334B,"Shadow Rock Square Balcony Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5828
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSH+2340B,"Shadow Rock Square Bar Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5829
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSHNU+2330B,"Shadow Rock Square Dining Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5830
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSHNU+2334B,"Shadow Rock Square Balcony Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5831
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSHNU+2340B,"Shadow Rock Square Bar Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5832
REVIEW,,Homecrest,Shadow Rock,Tables,C3660XSH+273660B,"Shadow Rock Rectangle Coffee Table 36"" x 60"" (Trestle Base, no Hole)",,,1,True,False,5803
REVIEW,,Homecrest,Shadow Rock,Tables,C4242SSH+3330B,"Shadow Rock Square Dining Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5839
REVIEW,,Homecrest,Shadow Rock,Tables,C4242SSH+3334B,"Shadow Rock Square Balcony Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5840
REVIEW,,Homecrest,Shadow Rock,Tables,C4242SSH+3340B,"Shadow Rock Square Bar Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5841
REVIEW,,Homecrest,Shadow Rock,Tables,C4242SSHNU+2742SB,"Shadow Rock Square Coffee Table 42"" (Trestle Base, no Hole)",,,1,True,False,5805
REVIEW,,Homecrest,Shadow Rock,Tables,C4242SSHNU+3330B,"Shadow Rock Square Dining Table 42"" (Pedestal Base, no Hole)",,,1,True,False,5842
